Entry	Entry Name	Gene Names
P35150	DACB_BACSU	dacB BSU23190
P37531	SLEL_BACSU	sleL yaaH BSU00160
P37554	SPOVT_BACSU	spoVT yabL BSU00560
P37873	SP2M_BACSU	spoIIM BSU23530
P39620	GERQ_BACSU	gerQ ywdL BSU37920 ipa-62r
P39764	KINC_BACSU	kinC mskA ssb BSU14490
P42089	CGEA_BACSU	cgeA cgeAA BSU19780
P42234	CATE_BACSU	katE katB BSU39050 N15D
P45707	SIRA_BACSU	sirA orf148 pcfA yneE yoxF BSU17900
P45858	MMGD_BACSU	mmgD yqiO BSU24140
P49782	SP3AE_BACSU	spoIIIAE BSU24390
P52934	SP0A_GEOSE	spo0A
P54450	CWLH_BACSU	cwlH yqeE BSU25710
P59623	SP2AB_CLOTE	spoIIAB CTC_02247
P59624	SP2AB_PASPE	spoIIAB
P60495	PXPB_BACSU	pxpB kipI ycsJ BSU04080
P70878	SP2AB_HEYCO	spoIIAB
P70962	RAPB_BACSU	rapB spo0P ywmE BSU36690
Q03524	SP5D_BACSU	spoVD BSU15170
Q04747	SRFAB_BACSU	srfAB comL srfA2 BSU03490
Q04809	DPAA_BACSU	dpaA spoVFA BSU16730 orfY
Q05523	DACA_GEOSE	dacA
Q06117	CR3BB_BACTU	cry3Bb cryIIIB(b) cryIIIb2
Q08352	DHA_BACSU	ald ski22 spoVN BSU31930
Q08787	SRFAC_BACSU	srfAC srfA3 BSU03510
Q08788	SRFAD_BACSU	srfAD srfA4 BSU03520
Q0SRC7	SP2AB_CLOPS	spoIIAB CPR_2021
Q0TNR1	SP2AB_CLOP1	spoIIAB CPF_2306
Q45757	CR6AA_BACTU	cry6Aa cryVIa cryVIA(a)
Q5KXJ2	SP2AB_GEOKA	spoIIAB GK2309
Q5WH26	SP2AB_SHOC1	spoIIAB ABC1794
Q635K7	SP2AB_BACCZ	spoIIAB BCE33L3830
Q65HU3	SP2AB_BACLD	spoIIAB BLi02496 BL00777
Q6HE93	SP2AB_BACHK	spoIIAB BT9727_3814
Q731M3	SP2AB_BACC1	spoIIAB BCE_4143
Q7AKN0	WHIB_STRCO	whiB whiB2 SCO3034
Q7WY62	SDA_BACSU	sda BSU25690
Q7WY77	PXPC_BACSU	pxpC kipA BSU04090
Q819B3	SP2AB_BACCR	spoIIAB BC_4073
Q81MF4	SP2AB_BACAN	spoIIAB BA_4295 GBAA_4295 BAS3984
